"","file_name","Rob_protocol","Rob_question","Rob_inexclusioncriteria","Rob_search","Rob_date","Rob_string","Rob_rob","Rob_guidelines","Rob_metaanalysis","Rob_flowchart","Rob_coi","Rob_deviations","Rob_extraction"
"1","html/Abdolmaleki_2022_Cell.html","0","1","1","1","1","1","1","1","1","1","1","0","1"
"2","html/Abraham_2022_unraveling.html","0","1","1","1","1","1","1","1","0","1","0","0","0"
"3","html/Agrawal-2017-Impactofhighironintakeoncog.html","0","1","1","1","1","0","1","1","1","1","1","0","1"
"4","html/Ahmed_2022_Effects.html","0","1","1","1","1","1","1","1","1","1","1","0","1"
"5","html/Aiyede_2023_A.html","1","1","1","1","1","1","1","1","1","1","0","0","1"
"6","html/Akhtar_2009_Animal.html","0","1","1","1","0","1","1","0","0","1","0","0","0"
"7","html/Akter_2020_The.html","0","1","1","1","1","1","1","1","1","1","1","0","1"
"8","html/Al-Nasser-2022-IsL-GlutamateToxictoNeurons.html","0","1","1","1","1","0","1","1","0","1","1","0","0"
"9","html/Alavi_2021_Extracorporeal.html","0","1","1","1","0","1","1","1","1","1","1","0","1"
"10","html/Alcantara_2018_Post.html","0","1","1","1","1","1","1","0","0","1","1","0","1"
"11","html/Alcaro_2010_Is.html","0","1","1","1","1","1","0","0","1","0","0","0","0"
"12","html/Alexander-2021-Effectsofchemotherapyforacu.html","0","1","1","1","0","0","0","1","0","0","0","0","0"
"13","html/Aliena-Valero-2021-Effectofuricacidinanim.html","0","1","1","1","1","1","1","1","1","1","1","0","1"
"14","html/Alkabie_2016_The.html","1","1","1","1","1","1","1","1","1","1","1","0","1"
"15","html/Allanach-2022-Currentstatusofneuroprotectiv.html","0","1","1","1","1","1","1","1","0","1","1","0","1"
"16","html/Alpdogan-2022-Meta-reviewonPerforationModel.html","1","1","1","1","1","1","0","1","1","1","1","0","1"
"17","html/Alvarenga-2021-Asystematicreviewofgenomic.html","0","1","1","1","1","1","0","1","0","0","1","0","0"
"18","html/Aly-2021-Targetingtheendocannabinoidsystem.html","0","1","1","1","1","1","1","1","0","0","0","0","0"
"19","html/Amarasingh-2009-Whatisthetranslationaleffi.html","0","1","1","1","1","0","1","1","1","0","0","0","0"
"20","html/Andelius-2022-Remoteischemicpostconditioning.html","1","1","1","1","1","1","1","1","1","1","1","0","1"
"21","html/Andersen_2022_Prenatal.html","0","1","1","1","1","1","1","1","1","1","1","0","1"
"22","html/Andrade_2016_Use.html","0","1","1","1","1","0","1","1","1","1","0","0","0"
"23","html/Angius-2012-Asystematicreviewofanimalmode.html","0","1","1","1","1","1","0","0","0","0","0","0","1"
"24","html/Angoorani-2022-IsThereAnyLinkbetweenCogni.html","0","1","1","1","1","0","0","0","0","1","1","0","1"
"25","html/Antonic-2013-StemCellTransplantationinTrau.html","0","1","1","1","1","1","1","1","1","1","1","0","1"
"26","html/Anvari-2020-SeroprevalenceofNeosporacaninum.html","1","1","1","1","1","1","1","1","1","1","1","0","1"
"27","html/Archambault-2017-Therapeuticpotentialofmese.html","0","1","1","1","1","0","1","1","1","1","1","0","1"
"28","html/Archer-2017-AnestheticNeuroprotectioninExpe.html","0","1","1","1","1","1","1","1","1","0","1","0","1"
"29","html/ArenalesArauz-2022-PotentialofWhole-BodyVi.html","1","1","1","1","1","1","1","1","1","1","1","0","1"
"30","html/Arida_2021_The.html","1","1","1","1","1","1","1","1","1","1","1","0","1"
"31","html/Asadi-Pooya_2021_Smart.html","0","1","1","1","1","1","1","1","0","1","1","0","1"
"32","html/Asadi-Pooya_2022_Caffeinated.html","0","1","1","1","1","1","0","1","0","1","0","0","0"
"33","html/Askarian-Amiri-2022-TheefficacyofGABAergic.html","0","1","1","1","1","1","1","1","1","1","1","0","1"
"34","html/Assis_2020_Respiratory.html","0","1","1","0","1","1","0","1","0","1","1","0","0"
"35","html/Atagün_2022_A.html","0","1","1","1","1","1","0","1","0","1","1","0","0"
"36","html/Auboire-2018-Microbubblescombinedwithultras.html","0","1","1","1","1","1","1","1","0","1","1","0","0"
"37","html/Auditeau_2019_Herbal.html","0","1","1","1","1","1","1","0","0","1","1","0","0"
"38","html/Austin_2014_Aerobic.html","0","1","1","1","1","1","0","1","0","0","0","0","1"
"39","html/Ayar-2022-Theeffectoflow-levellasertherap.html","0","1","1","1","1","1","1","1","1","1","1","0","0"
"40","html/Azizi-2022-Neuroprotectiveeffectsofcarvacro.html","0","1","1","1","1","1","0","0","0","0","1","0","0"
